ID,trust.1,trust.2,trust.3,trust.4,trust.5,trust.6,lonely.1,lonely.2,lonely.3,lonely.4,lonely.5,lonely.6,lifesat.1,lifesat.2,lifesat.3,lifesat.4,lifesat.5,lifesat.6
1,4.666666667,3.5,3.666666667,2.833333333,3.666666667,2,2.166666667,2.5,2.166666667,3.166666667,2.833333333,2.833333333,3.8,3,4.2,3.6,4.4,5.2
2,4,3,4,3.666666667,4.333333333,4,2.833333333,3,2.833333333,2.833333333,2.666666667,2.333333333,3,2.4,4.2,3.6,4.2,3.6
3,3.833333333,3.666666667,3.833333333,3.333333333,4.166666667,3.333333333,3,2.333333333,2.166666667,2.166666667,1.5,1.833333333,3.2,4,5.2,5.4,5.8,4.6
4,3.833333333,3.5,3,3.666666667,2.833333333,3.333333333,1.5,1.666666667,1.666666667,2,1.833333333,1.833333333,4.4,4.4,4.2,3.6,3.4,4.4
5,3.833333333,3.5,4,4,3,2.833333333,1.5,1.5,1.666666667,1.666666667,2,1,3.8,4.4,4.8,4.8,2.6,4.8
6,3.333333333,3.833333333,4,4.333333333,4.5,3.166666667,2,2.166666667,2,2,1.333333333,2.5,4.6,3.6,3.4,4.8,5.2,5.8
7,4.333333333,3.5,4,2.833333333,2.666666667,3.166666667,2.833333333,2.833333333,2.666666667,3,2.833333333,2.833333333,3.6,2.8,4,3.6,3,3.4
8,4.166666667,4.666666667,3,3.5,3.166666667,3.666666667,1.5,2.333333333,1.333333333,2,1,1.666666667,4.6,6,3.8,4.8,5.6,5
9,3.333333333,3.5,3.166666667,2.666666667,2.666666667,3,1.666666667,2.333333333,2.166666667,2.666666667,1.833333333,1.5,4.2,5,3.6,2.8,3.6,3.2
10,3.333333333,3.833333333,4,4.666666667,3.833333333,4,2.666666667,2.666666667,2.333333333,2.333333333,2,2.333333333,5.4,4.4,5.2,5,5.8,5.2
11,3.833333333,3.833333333,3,3.333333333,3.5,4.5,2,1.666666667,1.833333333,2,1.666666667,1.5,2.2,3.4,3.2,4.2,4.2,4.6
12,4.833333333,4.666666667,4.833333333,4.5,3.833333333,3.333333333,2,1.833333333,2,2.166666667,1,1.5,5,3.6,3.6,5,3.4,5
13,3,4,4.333333333,3.833333333,3.666666667,3.166666667,3.333333333,2.5,2.333333333,1.833333333,2.166666667,2.166666667,2,3.4,4.6,3.4,4.6,4.8
14,4.5,4.333333333,3.333333333,3.833333333,3.833333333,4,1.666666667,1.333333333,2.333333333,1.5,1.5,1.5,3.2,4.2,2.8,4.8,4.6,4.4
15,3.833333333,3.833333333,3.666666667,4.166666667,4.333333333,4.5,2.333333333,2,3,3,2.5,2.5,3.6,2.8,4.8,4.8,3.4,4.4
16,4.333333333,3.166666667,3.333333333,3.666666667,4,4.666666667,2,2.166666667,3,3,2.166666667,2.333333333,3.4,3,2.6,2.6,3.2,3.4
17,4.666666667,4.5,4.166666667,4.166666667,4.666666667,3.666666667,2.333333333,2,2.5,2.166666667,2.333333333,1.5,4,5.8,5.6,4,5,4.8
18,3.333333333,3.166666667,3.5,2.666666667,2.833333333,3,2.5,2.333333333,2.666666667,3.166666667,1.333333333,2,3,2.2,3,3.6,3.4,4
19,3,3.333333333,3.166666667,2.833333333,3,3.166666667,1.666666667,1.833333333,2.5,2,1.333333333,1.666666667,2.2,2,3.8,2.8,2.8,3.8
